-7.561764214187860489e-03,-6.103897839784622192e-02,7.458425164222717285e-01,3.587276488542556763e-02,-9.895084425806999207e-03,9.012097120285034180e-01,4.317826628684997559e-01,1.804969273507595062e-03,2.240220457315444946e-01,-1.017327606678009033e-01,4.896284639835357666e-01,-4.967041909694671631e-01,4.784383811056613922e-03,-2.922065258026123047e-01,-3.172703459858894348e-02,5.364583730697631836e-01,5.750189423561096191e-01,-2.020704001188278198e-01,2.462356984615325928e-01,-2.024110108613967896e-01,-5.733233317732810974e-02,2.845359444618225098e-01,-2.844862639904022217e-01,3.413464128971099854e-01,-5.319654941558837891e-01,9.186156988143920898e-01,-9.723976254463195801e-02,-1.903224736452102661e-02,1.516131013631820679e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.521377384662628174e-01,-5.482779145240783691e-01,7.314631342887878418e-01,4.675921797752380371e-01,-2.326385676860809326e-01,-2.956099808216094971e-02,-1.612081937491893768e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.203705556690692902e-02,-7.771103084087371826e-02,7.452583312988281250e-01,2.328634448349475861e-02,-9.848704561591148376e-03,9.002190232276916504e-01,4.347026944160461426e-01,-8.333150297403335571e-02,2.183545976877212524e-01,-7.329216599464416504e-02,5.841423869132995605e-01,-5.461987853050231934e-01,2.849807590246200562e-02,-3.582767844200134277e-01,-4.934282228350639343e-02,4.923878908157348633e-01,5.906078815460205078e-01,-1.611615568399429321e-01,2.617999017238616943e-01,-2.839753925800323486e-01,-3.371027857065200806e-02,3.066844642162322998e-01,-4.182066023349761963e-01,2.957053482532501221e-01,-5.302488207817077637e-01,1.067719936370849609e+00,-1.014013513922691345e-01,-9.060736745595932007e-02,1.647340357303619385e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.222681164741516113e-01,-5.438576340675354004e-01,7.537965178489685059e-01,5.557723641395568848e-01,-2.278982698917388916e-01,-6.351360678672790527e-02,-6.280990689992904663e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.915116235613822937e-02,-9.786216914653778076e-02,7.469660043716430664e-01,2.026031911373138428e-02,-6.413394119590520859e-03,8.850901126861572266e-01,4.649343192577362061e-01,-9.296806156635284424e-02,2.137185633182525635e-01,1.978100091218948364e-02,5.989258885383605957e-01,-5.571586489677429199e-01,5.366983264684677124e-02,-4.282232820987701416e-01,-1.032662540674209595e-01,4.116488099098205566e-01,5.687777400016784668e-01,-1.512814760208129883e-01,2.617999911308288574e-01,-3.022403419017791748e-01,-3.293335810303688049e-02,3.171113133430480957e-01,-4.671314060688018799e-01,3.003181815147399902e-01,-5.290698409080505371e-01,1.081250667572021484e+00,-7.995585352182388306e-02,-1.011691689491271973e-01,1.798033267259597778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.176035761833190918e-01,-5.353688597679138184e-01,7.410352826118469238e-01,5.924866795539855957e-01,-2.378653138875961304e-01,-5.900948494672775269e-02,-9.923335164785385132e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.583238855004310608e-02,-1.162561103701591492e-01,7.508987188339233398e-01,1.451089512556791306e-02,9.525834466330707073e-04,8.663366436958312988e-01,4.992487728595733643e-01,-9.307643026113510132e-02,2.108471989631652832e-01,1.293385326862335205e-01,5.836631059646606445e-01,-5.458245277404785156e-01,7.802128791809082031e-02,-4.848798811435699463e-01,-1.575046330690383911e-01,2.647666335105895996e-01,5.645008683204650879e-01,-1.459161490201950073e-01,2.487664520740509033e-01,-3.064689040184020996e-01,-3.939154371619224548e-02,3.204095065593719482e-01,-5.200722813606262207e-01,3.136460781097412109e-01,-5.225450396537780762e-01,1.078908324241638184e+00,-7.146760821342468262e-02,-1.084690541028976440e-01,2.053107023239135742e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.173158049583435059e-01,-5.268272757530212402e-01,7.203570008277893066e-01,6.385338902473449707e-01,-2.635646462440490723e-01,-5.683645606040954590e-02,-1.457889676094055176e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.202630952000617981e-02,-1.320127844810485840e-01,7.552163600921630859e-01,6.504781544208526611e-03,9.835815057158470154e-03,8.438123464584350586e-01,5.365087389945983887e-01,-8.587229251861572266e-02,2.077609747648239136e-01,2.342592924833297729e-01,5.489934086799621582e-01,-5.347819328308105469e-01,9.518110752105712891e-02,-5.082478523254394531e-01,-1.938481628894805908e-01,9.391449391841888428e-02,5.972008705139160156e-01,-1.923233866691589355e-01,2.059551477432250977e-01,-2.996584177017211914e-01,-4.590534418821334839e-02,3.082767426967620850e-01,-5.525035858154296875e-01,3.220962285995483398e-01,-5.059649944305419922e-01,1.054511070251464844e+00,-8.826624602079391479e-02,-1.206425726413726807e-01,2.275092601776123047e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.072162151336669922e-01,-5.147561430931091309e-01,7.150964736938476562e-01,6.755195260047912598e-01,-2.684892117977142334e-01,-5.535698309540748596e-02,-1.573202013969421387e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.768283501267433167e-02,-1.447885185480117798e-01,7.581356763839721680e-01,-2.511543221771717072e-03,1.969588361680507660e-02,8.201721310615539551e-01,5.717722177505493164e-01,-7.550416141748428345e-02,1.995418816804885864e-01,3.244667947292327881e-01,5.002920031547546387e-01,-5.290040373802185059e-01,1.009199619293212891e-01,-5.116466879844665527e-01,-2.252547591924667358e-01,-6.196117028594017029e-02,6.380357146263122559e-01,-2.588821351528167725e-01,1.614096462726593018e-01,-2.887203693389892578e-01,-5.197028070688247681e-02,2.882310748100280762e-01,-5.883635878562927246e-01,3.245758116245269775e-01,-4.957663416862487793e-01,1.018506050109863281e+00,-1.083343848586082458e-01,-1.293466091156005859e-01,2.555191218852996826e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.960836768150329590e-01,-4.960500597953796387e-01,7.136114239692687988e-01,7.129250764846801758e-01,-2.638956010341644287e-01,-5.539657548069953918e-02,-1.664750128984451294e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.245381429791450500e-02,-1.542810201644897461e-01,7.609388232231140137e-01,-1.062756497412919998e-02,2.862323634326457977e-02,7.983033657073974609e-01,6.014810800552368164e-01,-6.248351186513900757e-02,1.880149096250534058e-01,3.977527916431427002e-01,4.450516700744628906e-01,-5.176973342895507812e-01,1.044857501983642578e-01,-4.878686964511871338e-01,-2.407700419425964355e-01,-1.745085716247558594e-01,6.730604767799377441e-01,-3.182978630065917969e-01,1.172800958156585693e-01,-2.799988985061645508e-01,-5.815089866518974304e-02,2.595016360282897949e-01,-6.273041367530822754e-01,3.206948935985565186e-01,-4.884718060493469238e-01,9.756855368614196777e-01,-1.179376393556594849e-01,-1.360395848751068115e-01,2.818152308464050293e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.797437191009521484e-01,-4.738085567951202393e-01,7.090756893157958984e-01,7.475841045379638672e-01,-2.543505132198333740e-01,-5.873932316899299622e-02,-1.767093986272811890e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.608050733804702759e-02,-1.608673483133316040e-01,7.639967203140258789e-01,-1.568234711885452271e-02,3.587980940937995911e-02,7.772634625434875488e-01,6.279555559158325195e-01,-3.613634780049324036e-02,1.707219034433364868e-01,4.646527469158172607e-01,3.745964765548706055e-01,-4.940582811832427979e-01,1.093641817569732666e-01,-4.341084361076354980e-01,-2.467757761478424072e-01,-2.495218664407730103e-01,6.765146851539611816e-01,-3.624219894409179688e-01,8.446155488491058350e-02,-2.651887238025665283e-01,-6.629770249128341675e-02,2.310142517089843750e-01,-6.773154735565185547e-01,3.072777986526489258e-01,-4.796075820922851562e-01,9.222792983055114746e-01,-1.258392781019210815e-01,-1.402913331985473633e-01,3.098140954971313477e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.646811485290527344e-01,-4.533932805061340332e-01,7.021223902702331543e-01,7.835344076156616211e-01,-2.447317093610763550e-01,-6.668097525835037231e-02,-1.856744289398193359e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.853092879056930542e-02,-1.652510613203048706e-01,7.660689353942871094e-01,-2.025025337934494019e-02,4.276702553033828735e-02,7.554229497909545898e-01,6.535266637802124023e-01,-1.417367532849311829e-02,1.573513001203536987e-01,5.299361944198608398e-01,3.190139234066009521e-01,-4.739731550216674805e-01,1.127453371882438660e-01,-3.670878410339355469e-01,-2.402312159538269043e-01,-2.994841635227203369e-01,6.484346389770507812e-01,-3.898597955703735352e-01,6.029750779271125793e-02,-2.560017406940460205e-01,-6.978248059749603271e-02,1.991347372531890869e-01,-7.234138846397399902e-01,2.941417694091796875e-01,-4.730001389980316162e-01,8.761990666389465332e-01,-1.363082379102706909e-01,-1.505046486854553223e-01,3.307756781578063965e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.550791382789611816e-01,-4.358283579349517822e-01,7.070772647857666016e-01,8.122813105583190918e-01,-2.446664273738861084e-01,-7.202246040105819702e-02,-1.859797239303588867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.954806715250015259e-02,-1.680611222982406616e-01,7.668219208717346191e-01,-2.076961472630500793e-02,4.834073409438133240e-02,7.375245690345764160e-01,6.732676029205322266e-01,1.536856056191027164e-03,1.437870115041732788e-01,5.717409849166870117e-01,2.868194878101348877e-01,-4.571524560451507568e-01,1.148064211010932922e-01,-3.058643043041229248e-01,-2.272351533174514771e-01,-3.188238143920898438e-01,6.019060611724853516e-01,-3.937745988368988037e-01,5.139845982193946838e-02,-2.412533015012741089e-01,-7.425366342067718506e-02,1.757711023092269897e-01,-7.802365422248840332e-01,2.824357748031616211e-01,-4.729695320129394531e-01,8.285808563232421875e-01,-1.436402797698974609e-01,-1.629188507795333862e-01,3.570236265659332275e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.453653991222381592e-01,-4.229190051555633545e-01,7.155352234840393066e-01,8.393187522888183594e-01,-2.561110854148864746e-01,-7.509917765855789185e-02,-2.033052742481231689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
