4.609487485140562057e-03,1.926302444189786911e-03,7.453501224517822266e-01,4.378768056631088257e-02,-1.904226280748844147e-02,6.925813555717468262e-01,7.197576761245727539e-01,9.784590220078825951e-04,-8.771227300167083740e-02,8.789969235658645630e-02,3.364144265651702881e-01,-3.454100787639617920e-01,8.517821878194808960e-02,-1.228559985756874084e-01,-4.322026669979095459e-02,-7.210500538349151611e-02,5.079748034477233887e-01,-3.925608098506927490e-01,9.599500894546508789e-02,7.200178503990173340e-02,1.615791209042072296e-02,2.718752995133399963e-02,-4.662165939807891846e-01,4.856313169002532959e-01,-6.429756879806518555e-01,1.836295425891876221e-01,-2.088167071342468262e-01,-2.107003033161163330e-01,-2.040300145745277405e-02,-6.017310023307800293e-01,-6.121159791946411133e-01,6.602457761764526367e-01,-1.108667179942131042e-01,4.853125214576721191e-01,-4.019048810005187988e-02,4.180499818176031113e-03
3.605779958888888359e-03,2.976887160912156105e-03,7.430657148361206055e-01,4.675254225730895996e-02,-5.259747616946697235e-03,6.889619231224060059e-01,7.232689857482910156e-01,-2.798100002110004425e-02,-1.133642420172691345e-01,1.025460585951805115e-01,3.640758991241455078e-01,-3.627150058746337891e-01,7.103008776903152466e-02,-1.698968857526779175e-01,-7.484490424394607544e-02,-6.720449030399322510e-02,5.719351768493652344e-01,-4.352133274078369141e-01,1.087435185909271240e-01,7.424876093864440918e-02,8.016369305551052094e-03,4.614765569567680359e-02,-4.178460836410522461e-01,5.153696537017822266e-01,-3.406864404678344727e-01,1.264133024960756302e-02,-3.587910830974578857e-01,-3.449200391769409180e-01,1.583941429853439331e-01,-5.099556446075439453e-01,-6.973384618759155273e-01,3.531319797039031982e-01,-2.310730218887329102e-01,5.857129693031311035e-01,-1.728451848030090332e-01,-1.435996890068054199e-01
2.279592212289571762e-03,4.363470710813999176e-03,7.431501746177673340e-01,4.715994745492935181e-02,-4.467062652111053467e-03,6.896243691444396973e-01,7.226162552833557129e-01,-3.035420738160610199e-02,-1.189279258251190186e-01,9.615105390548706055e-02,3.692133724689483643e-01,-3.601939380168914795e-01,6.419322639703750610e-02,-1.703751236200332642e-01,-8.336061984300613403e-02,-7.984352856874465942e-02,5.776054859161376953e-01,-4.366911947727203369e-01,1.042262613773345947e-01,7.174394279718399048e-02,1.342748571187257767e-02,3.632850944995880127e-02,-2.877485752105712891e-01,5.589315295219421387e-01,-2.491788193583488464e-02,4.263515397906303406e-02,-3.741978108882904053e-01,-4.001583456993103027e-01,3.315887749195098877e-01,-3.238318562507629395e-01,-7.556861042976379395e-01,5.719815194606781006e-02,-7.795521616935729980e-02,6.200817227363586426e-01,-2.648724913597106934e-01,-3.004246354103088379e-01
5.669324309565126896e-05,5.089428275823593140e-03,7.434296607971191406e-01,4.669089242815971375e-02,-8.817641995847225189e-03,6.915982961654663086e-01,7.207176685333251953e-01,-2.328130230307579041e-02,-1.173467338085174561e-01,8.592931181192398071e-02,3.672517240047454834e-01,-3.573516905307769775e-01,5.976874008774757385e-02,-1.644968837499618530e-01,-8.212243020534515381e-02,-8.965208381414413452e-02,5.830234289169311523e-01,-4.299837946891784668e-01,1.039078980684280396e-01,6.216457486152648926e-02,1.622316800057888031e-02,4.158754646778106689e-02,-1.672638952732086182e-01,6.286497712135314941e-01,1.548313498497009277e-01,4.094246923923492432e-01,-3.599303960800170898e-01,-3.138630986213684082e-01,4.105899631977081299e-01,-1.454589813947677612e-01,-8.405346870422363281e-01,-1.324578374624252319e-01,3.745141625404357910e-01,5.578491687774658203e-01,-2.584394812583923340e-01,-4.466470181941986084e-01
-2.817497588694095612e-03,5.842164624482393265e-03,7.428703308105468750e-01,4.333806782960891724e-02,-1.299284212291240692e-02,6.963490247726440430e-01,7.162758111953735352e-01,-8.806033059954643250e-03,-1.132867336273193359e-01,8.279258757829666138e-02,3.427764475345611572e-01,-3.642435669898986816e-01,8.189200609922409058e-02,-1.532681584358215332e-01,-7.231101393699645996e-02,-8.820962160825729370e-02,5.683370828628540039e-01,-4.303128123283386230e-01,9.253286570310592651e-02,5.211099237203598022e-02,1.532027963548898697e-02,3.957963734865188599e-02,-1.757289320230484009e-01,7.201400995254516602e-01,9.460566192865371704e-02,9.388199448585510254e-01,-3.494093716144561768e-01,-1.762190759181976318e-01,2.719427645206451416e-01,-9.902577847242355347e-02,-9.326272010803222656e-01,-8.891294896602630615e-02,8.712256550788879395e-01,4.529200196266174316e-01,-1.454495787620544434e-01,-3.344623744487762451e-01
-5.802860017865896225e-03,5.727301817387342453e-03,7.423654794692993164e-01,3.964997455477714539e-02,-1.301852334290742874e-02,6.974048018455505371e-01,7.154613733291625977e-01,-1.291948929429054260e-02,-1.121321395039558411e-01,8.552949130535125732e-02,3.396295309066772461e-01,-3.699938058853149414e-01,8.461800962686538696e-02,-1.636159867048263550e-01,-6.895885616540908813e-02,-8.317496627569198608e-02,5.766465067863464355e-01,-4.291314780712127686e-01,9.185725450515747070e-02,3.733532130718231201e-02,1.641512289643287659e-02,5.479798093438148499e-02,-1.488575488328933716e-01,7.318755984306335449e-01,3.549732640385627747e-02,1.264927387237548828e+00,-2.222458571195602417e-01,-7.867281883955001831e-02,1.556400805711746216e-01,-6.732110679149627686e-02,-9.544447064399719238e-01,-3.365888446569442749e-02,1.173436999320983887e+00,3.501694500446319580e-01,-5.924700200557708740e-02,-2.075992822647094727e-01
-8.490028791129589081e-03,4.984562285244464874e-03,7.425644397735595703e-01,3.738227114081382751e-02,-1.053239777684211731e-02,6.971406936645507812e-01,7.158815860748291016e-01,-1.387243159115314484e-02,-1.156874895095825195e-01,9.227623045444488525e-02,3.235687017440795898e-01,-3.633615970611572266e-01,7.842549681663513184e-02,-1.706272512674331665e-01,-7.276002317667007446e-02,-8.345243334770202637e-02,5.737414956092834473e-01,-4.300881922245025635e-01,9.319958090782165527e-02,2.583201043307781219e-02,2.041536197066307068e-02,7.044386118650436401e-02,-8.969631791114807129e-02,7.232722043991088867e-01,8.538354933261871338e-02,1.426482439041137695e+00,-1.736110299825668335e-01,-6.220235675573348999e-02,9.981881082057952881e-02,-1.512393541634082794e-02,-9.498138427734375000e-01,-7.043980062007904053e-02,1.325892210006713867e+00,3.043217360973358154e-01,-4.358663409948348999e-02,-1.518637537956237793e-01
-1.065095886588096619e-02,4.275772720575332642e-03,7.429102063179016113e-01,3.425844386219978333e-02,-8.130151778459548950e-03,6.983218789100646973e-01,7.149173021316528320e-01,-1.513287983834743500e-02,-1.192523241043090820e-01,8.896970003843307495e-02,3.049552142620086670e-01,-3.553674817085266113e-01,7.476789504289627075e-02,-1.767961084842681885e-01,-7.504399120807647705e-02,-8.757565915584564209e-02,5.692305564880371094e-01,-4.278880655765533447e-01,9.371759742498397827e-02,1.299540046602487564e-02,2.459040842950344086e-02,8.491937816143035889e-02,-3.874948620796203613e-02,7.174438834190368652e-01,1.011160835623741150e-01,1.528928160667419434e+00,-1.043775975704193115e-01,-5.820434540510177612e-02,4.813330620527267456e-02,2.524586953222751617e-02,-9.523425698280334473e-01,-9.464669972658157349e-02,1.430412173271179199e+00,2.598975002765655518e-01,-3.865398839116096497e-02,-1.031618341803550720e-01
-1.218604575842618942e-02,2.996433060616254807e-03,7.428503632545471191e-01,3.509193658828735352e-02,-9.357949718832969666e-03,6.990706920623779297e-01,7.141296267509460449e-01,-1.425904966890811920e-02,-1.222031265497207642e-01,8.312765508890151978e-02,3.039899468421936035e-01,-3.538600802421569824e-01,7.284940034151077271e-02,-1.781389564275741577e-01,-7.594051212072372437e-02,-8.650819957256317139e-02,5.765664577484130859e-01,-4.278878569602966309e-01,9.440531581640243530e-02,4.458021372556686401e-03,2.260346710681915283e-02,9.778667986392974854e-02,2.133981324732303619e-03,7.121553421020507812e-01,9.383194893598556519e-02,1.583369731903076172e+00,-4.870706051588058472e-02,-5.096362531185150146e-02,7.118751294910907745e-03,4.716951772570610046e-02,-9.575081467628479004e-01,-9.592789411544799805e-02,1.483057737350463867e+00,2.217715978622436523e-01,-3.245086595416069031e-02,-7.328516989946365356e-02
-1.309062913060188293e-02,1.811365596950054169e-03,7.428732514381408691e-01,3.399292379617691040e-02,-8.410949259996414185e-03,6.989776492118835449e-01,7.142856121063232422e-01,-1.649335213005542755e-02,-1.251171082258224487e-01,7.580475509166717529e-02,2.971195280551910400e-01,-3.514534235000610352e-01,7.285104691982269287e-02,-1.809021383523941040e-01,-7.277556508779525757e-02,-8.188601583242416382e-02,5.717947483062744141e-01,-4.294766783714294434e-01,9.465567767620086670e-02,-8.113944204524159431e-04,2.236320450901985168e-02,1.060465797781944275e-01,1.437034271657466888e-02,7.258661985397338867e-01,8.576987683773040771e-02,1.595207452774047852e+00,-2.304466255009174347e-02,-6.347658485174179077e-02,-7.567339111119508743e-03,5.237399041652679443e-02,-9.752065539360046387e-01,-9.295777231454849243e-02,1.498664498329162598e+00,1.972864568233489990e-01,-4.253957048058509827e-02,-6.644573807716369629e-02
-1.341270934790372849e-02,2.449383027851581573e-04,7.432029843330383301e-01,3.081354126334190369e-02,-6.151979323476552963e-03,6.998817324638366699e-01,7.135672569274902344e-01,-2.408185973763465881e-02,-1.251692324876785278e-01,7.128591835498809814e-02,2.885424196720123291e-01,-3.462089300155639648e-01,7.298100739717483521e-02,-1.884569376707077026e-01,-6.856476515531539917e-02,-7.964728772640228271e-02,5.636169314384460449e-01,-4.252394437789916992e-01,9.527157992124557495e-02,-6.245992844924330711e-04,2.123565226793289185e-02,1.155320703983306885e-01,6.728299777023494244e-04,7.444542646408081055e-01,7.126904278993606567e-02,1.574380397796630859e+00,-1.306161191314458847e-02,-8.317342400550842285e-02,-6.865668692626059055e-04,4.386556893587112427e-02,-9.923561215400695801e-01,-8.014633506536483765e-02,1.481674194335937500e+00,1.753798425197601318e-01,-5.851417034864425659e-02,-7.218258827924728394e-02
-1.324973534792661667e-02,-1.672797719947993755e-03,7.436234354972839355e-01,2.448133565485477448e-02,-1.457728794775903225e-03,7.009767889976501465e-01,7.127622365951538086e-01,-4.407319426536560059e-02,-1.224544793367385864e-01,6.895228475332260132e-02,2.859389483928680420e-01,-3.415212631225585938e-01,7.233702391386032104e-02,-2.049342095851898193e-01,-6.221888959407806396e-02,-7.765858620405197144e-02,5.535957217216491699e-01,-4.152524471282958984e-01,9.389884024858474731e-02,3.141837660223245621e-03,2.188658155500888824e-02,1.262233704328536987e-01,-2.719027549028396606e-02,7.523125410079956055e-01,4.433863237500190735e-02,1.541018486022949219e+00,-1.356816384941339493e-02,-1.045010834932327271e-01,1.549385394901037216e-02,2.885606326162815094e-02,-1.001590728759765625e+00,-4.705194756388664246e-02,1.449055314064025879e+00,1.370562911033630371e-01,-7.550930231809616089e-02,-8.844869583845138550e-02
-1.273525785654783249e-02,-3.843002952635288239e-03,7.438673973083496094e-01,1.352815888822078705e-02,6.178614217787981033e-03,7.017323374748229980e-01,7.122854590415954590e-01,-8.257058262825012207e-02,-1.154200062155723572e-01,6.960694491863250732e-02,2.959489822387695312e-01,-3.413919806480407715e-01,7.153588533401489258e-02,-2.365506142377853394e-01,-5.107403919100761414e-02,-7.108593732118606567e-02,5.471456050872802734e-01,-3.979988396167755127e-01,9.303978830575942993e-02,6.600424647331237793e-03,2.391561679542064667e-02,1.369564533233642578e-01,-6.277691572904586792e-02,7.368952631950378418e-01,1.169804111123085022e-02,1.507689833641052246e+00,-2.741938643157482147e-02,-1.174905002117156982e-01,3.710366785526275635e-02,-1.210759161040186882e-03,-9.887863993644714355e-01,9.171438287012279034e-04,1.416950583457946777e+00,1.033955588936805725e-01,-8.413148671388626099e-02,-1.065999194979667664e-01
